recordId,museumId,userId,pointId,arriveTime,leaveTime,staySeconds,totalSeconds ,interactionCount,interactionType,notes
A_B_202503280515_000,A,0,1-2,2025-03-28T05:15:16.073Z,2025-03-28T05:15:18.032Z,1,,0,觀看告示牌,
A_B_202503280515_001,A,0,1-1,2025-03-28T05:15:20.465Z,2025-03-28T05:15:22.909Z,2,,0,觀看影片,
A_B_202503280515_002,A,0,2-1,2025-03-28T05:15:25.307Z,2025-03-28T05:15:28.593Z,3,,0,觀看展品,
A_B_202503280515_003,A,0,2-3,2025-03-28T05:15:30.381Z,2025-03-28T05:15:32.261Z,1,,0,觀看告示牌,
A_B_202503280515_004,A,0,2-4,2025-03-28T05:15:33.703Z,2025-03-28T05:15:35.657Z,1,,0,觀看展品,
A_B_202503280515_005,A,0,1-3,2025-03-28T05:15:36.827Z,2025-03-28T05:15:38.595Z,1,,0,觀看告示牌,
A_B_202503280620_000,A,0,1-1,2025-03-28T06:20:29.717Z,2025-03-28T06:20:31.934Z,2,,0,觀看模型,
A_B_202503280620_001,A,0,2-1,2025-03-28T06:20:33.964Z,2025-03-28T06:20:35.836Z,1,,0,觀看展品,
A_B_202503280650_000,A,0,5-2,2025-03-28T06:50:11.361Z,2025-03-28T06:50:13.941Z,2,,0,觀看告示牌,
A_B_202503280650_001,A,0,1-2,2025-03-28T06:50:18.480Z,2025-03-28T06:50:21.189Z,2,,0,觀看模型,
A_B_202503280650_002,A,0,1-2,2025-03-28T06:50:22.722Z,2025-03-28T06:50:24.386Z,1,,0,觀看模型,
A_B_202503280650_003,A,0,1-2,2025-03-28T06:50:27.376Z,2025-03-28T06:50:29.215Z,1,,0,觀看模型,
A_B_202503280650_004,A,0,1-3,2025-03-28T06:50:30.279Z,2025-03-28T06:50:32.008Z,1,,0,觀看展品,
A_B_202503280650_005,A,0,5-2,2025-03-28T06:50:39.690Z,2025-03-28T06:50:41.481Z,1,,0,觀看影片,
A_B_202503280650_006,A,0,5-3,2025-03-28T06:50:42.544Z,2025-03-28T06:50:44.931Z,2,,0,觀看模型,
A_B_202503280820_000,A,0,1-2,2025-03-28T08:20:18.064Z,2025-03-28T08:20:21.600Z,3,,0,觀看告示牌,
A_B_202503280822_000,A,0,1-2,2025-03-28T08:22:10.404Z,2025-03-28T08:22:12.104Z,1,,0,觀看告示牌,
A_B_202503280822_001,A,0,1-3,2025-03-28T08:22:14.620Z,2025-03-28T08:22:16.096Z,1,,0,觀看告示牌,
A_B_202503280825_000,A,0,6-1,2025-03-28T08:25:06.169Z,2025-03-28T08:25:08.422Z,2,,0,觀看影片,
A_B_202503280825_001,A,0,5-3,2025-03-28T08:25:10.143Z,2025-03-28T08:25:11.811Z,1,,0,觀看告示牌,
A_B_202503280826_002,A,0,1-3,2025-03-28T08:26:32.564Z,2025-03-28T08:26:35.036Z,2,,0,聆聽導覽,
A_B_202503280825_001,A,0,5-3,2025-03-28T08:25:10.143Z,2025-03-28T08:25:11.811Z,1,,0,觀看告示牌,
A_B_202503280825_000,A,0,6-1,2025-03-28T08:25:06.169Z,2025-03-28T08:25:08.422Z,2,,0,觀看影片,
A_B_202503280826_003,A,0,2-4,2025-03-28T08:26:36.453Z,2025-03-28T08:26:39.218Z,2,,0,聆聽導覽,
A_B_202503280828_001,A,0,1-1,2025-03-28T08:28:53.964Z,2025-03-28T08:28:56.867Z,2,,0,觀看告示牌,
A_B_202503280828_000,A,0,1-2,2025-03-28T08:28:49.481Z,2025-03-28T08:28:51.941Z,2,,0,觀看影片,
A_B_202503280829_002,A,0,1-3,2025-03-28T08:28:58.052Z,2025-03-28T08:29:01.171Z,3,,0,觀看模型,
A_B_202503281717_0000_001,A,0,1-3,2025-03-28T17:17:31.814+08:00,2025-03-28T17:17:35.582+08:00,3,,0,觀看告示牌,
A_B_202503281717_0000_000,A,0,1-2,2025-03-28T17:17:26.793+08:00,2025-03-28T17:17:30.100+08:00,3,,0,觀看模型,
A_B_202503281717_0000_002,A,0,2-2,2025-03-28T17:17:39.330+08:00,2025-03-28T17:17:42.934+08:00,3,,0,觀看告示牌,
A_B_202503282135_0000_002,A,0,1-3,2025-03-28T21:35:27.191+08:00,2025-03-28T21:35:33.832+08:00,6,,0,觀看模型,
A_B_202503282135_0000_001,A,0,2-3,2025-03-28T21:35:18.227+08:00,2025-03-28T21:35:20.798+08:00,2,,0,聆聽音樂,
A_B_202503282135_0000_000,A,0,3-2,2025-03-28T21:35:12.620+08:00,2025-03-28T21:35:16.780+08:00,4,,0,觀看模型,
A_B_202503282135_0000_003,A,0,1-3,2025-03-28T21:35:37.030+08:00,2025-03-28T21:35:41.240+08:00,4,,0,觀看告示牌,
A_B_202503282147_0000_000,A,0,1-2,2025-03-28T21:46:57.870+08:00,2025-03-28T21:47:02.193+08:00,4,,0,觀看模型,
A_B_202503282147_0000_001,A,0,1-3,2025-03-28T21:47:04.282+08:00,2025-03-28T21:47:07.229+08:00,2,,0,觀看展品,
A_B_202503282148_0000_000,A,0,4-3,2025-03-28T21:48:41.878+08:00,2025-03-28T21:48:45.027+08:00,3,,0,觀看展品,
A_B_202503282148_0000_001,A,0,1-3,2025-03-28T21:48:47.716+08:00,2025-03-28T21:48:49.935+08:00,2,,0,觀看影片,
A_B_202503282148_0000_001,A,0,1-3,2025-03-28T21:48:47.716+08:00,2025-03-28T21:48:49.935+08:00,2,,0,觀看影片,
A_B_202503282148_0000_000,A,0,4-3,2025-03-28T21:48:41.878+08:00,2025-03-28T21:48:45.027+08:00,3,,0,觀看展品,
A_B_202503282149_0000_002,A,0,4-4,2025-03-28T21:49:17.803+08:00,2025-03-28T21:49:31.893+08:00,14,,0,"觀看影片, 觀看模型, 聆聽導覽, 聆聽音樂",0
A_B_202503292304_0000_000,A,0,1-3,2025-03-29T23:04:23.557+08:00,2025-03-29T23:04:25.591+08:00,2,,0,觀看告示牌,
A_B_202503292304_0000_001,A,0,1-2,2025-03-29T23:04:26.690+08:00,2025-03-29T23:04:28.308+08:00,1,,0,觀看影片,
A_B_202503292304_0000_002,A,0,2-3,2025-03-29T23:04:44.456+08:00,2025-03-29T23:04:46.598+08:00,2,,0,聆聽導覽,
